Breakpoint,A,B,C
-0.1288176,-152501.94943376767,-39393.743551503394,-2533.5464830841074
-0.108887,123545.51592923372,26795.336590527266,1460.6336170451793
-0.08478895,-31764.126226129065,-5477.802138266958,-230.3760950051796
-0.06189251,135464.25875969796,16697.877688856035,518.0419553628211
-0.03279214,-76576.50682139503,-5081.005805406972,-82.05073695707878
0.0,196863.96922453734,-34.73324813006569,-0.20563430134382799
0.07207507,22063.037349996797,-3171.337769642426,114.08799185458922
0.1201091,78544.85739374088,-18838.730530247543,1130.3738140171126
