Perfect_Cost
91800.32462414206
97712.90802681533
89340.01413482576
80056.90082945538
73503.94681212144
100055.68758949151
138906.26139699065
121473.73756853148
126602.06667225299
148812.6952790934
160721.27920967303
104770.22110358402
97017.52468389683
108885.24651688276
102555.75630786624
125139.12294615399
122195.76752684773
108360.69044125084
124217.68677699304
131742.02111764267
137269.97007241973
108352.22984219322
132239.85867819103
111165.3734199726
150684.1919430996
162183.70000836422
131689.61716389804
137379.7046647288
114875.33867052755
104459.78211120941
162143.4498946387
138697.86264583745
133964.82217299935
120421.25026193309
101330.55706807037
122138.9965944278
125086.71899241372
115340.67070503451
124156.54881349401
118534.54047901969
102381.91047213507
103226.30453139395
107836.13436562342
97365.21635535636
106723.5677975652
114528.45481979563
123457.82944773363
132423.27251628682
112671.35705744215
92442.18780663994
89590.959603305
88245.41739584439
108390.30246181425
101111.18016356687
96449.71820612508
95384.06070995933
116529.38251233203
100610.33860575741
105976.10248774721
103607.10966226143
85258.73652136575
71197.69681211982
75766.80562266769
71381.44679712191
72052.69681211974
79237.65146145746
84586.63391347066
92187.08832021609
