Change1,Change2,Change3,Change4,Change5
62067.72211488067,559901.1442740264,987.2660624848795,44904.51706341056,850.3340656182409
851.9647108748322,241171.48873244433,295466.7505388451,796996.9191799269,907.4194776272925
54391.225533616016,117.10259604285238,571.969865379433,374521.4748882279,156023.73722497656
129.80543670411862,801.1782028811722,32139.50486277588,421262.9521480023,112.76679345801676
184501.04699048796,620.5143353521271,596641.1796265616,145531.01799487893,80.71234913164517
651.7309343748057,834060.002102627,291544.1315891967,12367.813505018697,125.06600637637894
224995.33235743063,315690.75155476946,263768.14824033447,292556.82986573165,801.4860106798442
1166522.7076067326,200736.29658350287,1607.8762427564798,1207469.5148284552,1086.0101143294742
873.5715081557719,428.912051065985,268803.812425165,532.6570876000333,1333.9285533053917
21826.701265497337,198.75332319972222,967.1687861366081,1301.0086435413978,1712.5015581476327
298245.9820899571,197204.71016955326,1045987.2043329988,201990.87568157827,822714.7681345155
124678.86590205887,616456.5130040495,7.099442508959328,566715.4434997009,1506.524264905398
1054.6999511271279,255925.2718667537,695134.0952660409,1513.8731624745415,834291.4368886969
518341.7904566949,1070.4590264698782,721.5638793007529,1220.152468115688,531.6051329137845
1471912.2577631061,172903.23518386844,374193.7861375594,109137.45964808766,1034451.5545889598
1280.909008963834,130718.9928055343,15209.635862206167,1029544.8139063424,1434.6817171564617
1207.4389690584358,1050388.789689199,340026.183416289,1040061.4717106116,469183.02092044224
693.9002828303346,-3.802132339027594,653601.0757919605,85487.29536081779,77311.82910338203
1961.1185041265126,1366776.2692322012,753243.8054746221,840286.1113713965,563480.5779973116
592053.597391734,308290.17908989394,912093.6397090182,956603.2679028533,240465.0131075411
649.0362771302898,202648.17436770897,687273.1491866475,234983.30129783193,896.9177372240811
38476.557700807505,540.3830947231181,424920.7206138189,491151.2772720583,52802.89095799318
214237.21401128045,287409.7992318812,1298609.6348213155,576.6077906362625,37.669519138900796
1283148.0329197242,109628.534205199,1092846.603503408,1040.5193464444746,200369.00660877296
2096119.8453077092,1898383.9255197407,1693853.0811093273,320729.1955713413,1336719.7221955513
617194.9650769187,278956.28472334065,276418.12382122246,1250553.4180426968,49.315145861779456
790093.4065759315,67273.13148274951,-4.275005459901877,1225319.117542121,595.1789308095758
346123.7506340305,957.2655121913267,171186.0805583119,1048179.6140201841,1537913.175716944
639830.8337661455,119470.49782096724,870883.1526661505,14900.161792481158,115259.47682172222
307051.1510102427,283660.05944894603,1398896.5129518728,654555.5585914082,129323.61693285749
78161.56522897894,97154.14051167366,82901.88762732242,1085816.5550392636,270647.9548335653
1273064.944708778,274363.4996360429,61935.10307221681,190005.27338408201,796942.3638822691
3557.4983527953736,47478.11994285557,705.3176818672364,610711.7408497937,576382.0315807534
54544.1222084357,12197.881489946856,946507.2068447897,708586.7167055104,948.6155880614824
376.67790245586366,1019802.5047754194,1256667.0498999127,43636.30066293113,1270969.044766899
230474.18193316346,177.70320423135126,414.3930392402108,129442.68123346099,61085.69904573701
1225.4122578034294,738.806417767395,8494.009477055486,89102.48812373565,753.8763472840656
762.3666175578546,60322.43980776901,803523.156926057,1063702.2912535702,347.53442150496994
416076.8312398681,137556.07121556133,149402.5313477179,169859.2046262302,148.44166177844454
49434.19085655415,1037735.6710920352,42415.47692531523,177404.56540773308,400.08965769071074
-8.546676800004207,343.06292844799464,375967.0411796235,226.40560375303903,29.767118327668868
372.03128667622514,350.78310475335456,1076002.826710074,103762.95616738097,1091.5984897635353
79007.95183110733,189119.79606350767,819.1676256465726,1070273.832178972,523988.7788705484
13413.41975247975,905.3606529326644,1207.9347635100858,888980.8989298267,911.3101438708109
290565.3946612563,48.127839629829396,944681.3173924421,27187.094560992788,1051.7252056611323
94906.46548846783,603.0800428626244,1000320.7135537902,470287.1183652519,517639.70692320704
286655.7151869136,652.6861859363125,150938.4435533744,1749.6863777704566,83506.76556066968
1346.582773758506,1550292.2990323727,1749.1883290178375,178792.03305689635,253033.05191153096
456.88235273442115,23341.49537310349,417412.9420734152,86473.92734950734,663685.4198198915
50.80289068739512,137832.52601759403,123877.81710514445,319.0725156203698,602.8968315388192
403438.2772697644,6527.172014074546,538670.4477526454,48878.775926092,205140.4879456589
254220.6131334064,1230.989040895438,1148.1211313963577,76.14013739187794,78127.21747672014
29224.076965077504,729476.7186847522,1363.6551685039594,1467.3974369140342,103784.41495773189
746342.5523011835,16.399262436680146,1163.4215305130347,1064365.2425107546,92234.35696224941
297431.69171484985,36926.02829771163,1079.1901639547286,8190.807330790325,820633.6568284517
671993.7524157616,158519.80346428274,354730.0703927296,108.95698465497117,154035.41450854143
661950.6789814008,802.9082194056537,201799.15377808138,966.9302058809262,343567.0373689168
12351.035691424666,481713.96318814886,510690.003969812,971.4464689183515,784392.8947755652
841362.8087113881,868767.0939604476,91259.52173189021,684695.2469890853,109514.3765929268
1144.4207819816365,55948.74051796389,79863.25608909293,676325.0508488107,1186.415653891876
189.26153412919666,911.7999504434847,31801.287305560938,239.69903412967687,682.2615341289493
625.1782028793241,528.6157028782036,350039.15299444296,865.8180555778672,429.4282028784073
74731.18914634627,537.2407028806192,37051.16619198784,340.4282028802263,44025.79798037029
806.7407028798189,710.6157028797825,27218.636500039043,110339.33928936443,672.115702879717
549.8865372566506,16.357815073810343,101.76602994833956,50.97259819457395,560.3240372561122
45001.88753280225,76165.8088139825,54238.24692314803,109.04014924423973,77764.87073614416
183.2684314800863,806.2899992157181,210.7823653802625,550.1573653806845,594.9698653819505
1467.3907653813367,55219.5038898639,46229.19370656923,1372.1989103687956,605.3520247819542
