Stage,TimeStep,Node,r_U,r_D,P_lsh,delta_RT,s
RT,0,84,0.0959480989,0.0,0.0,-20.00373731587152,0.0
RT,0,85,0.0,0.0,0.0,-18.68649646809203,0.0
RT,0,86,0.0506258049,0.0,0.0,-18.6969962600283,0.0
RT,0,87,0.0,0.0,0.0,-20.475062132269045,0.0
RT,0,88,0.0,0.0,0.0,-22.555162367143623,0.0
RT,0,89,0.0389507184,0.0,0.0,-19.261457914682524,0.0
RT,0,90,0.0,0.0,0.0,-22.005463555740278,0.0
RT,0,91,0.0437268969,0.0,0.0,-26.16962599822739,0.0
RT,0,92,0.0,0.0,0.0,-27.54014657841458,0.0
RT,0,93,0.0,0.0,0.0,-29.173261573912413,0.0
RT,0,94,0.0,0.0,0.0,-26.514807948966563,0.0
RT,0,95,0.0,0.0,0.0,-24.34130947478252,0.0
RT,0,96,0.0,0.0,0.0,-23.32216889657306,0.0
RT,0,97,0.0,0.0,0.0,-27.9152857686544,0.0
RT,0,98,0.0,0.0,0.0,-33.381511191334056,0.0
RT,0,99,0.0261935804,0.0,0.0,-39.23917528007689,0.0
RT,0,100,0.0,0.0,0.0,-32.7573725874752,0.0
RT,0,101,0.0,0.0,0.0,-28.26739615067754,0.0
RT,0,102,0.0,0.0,0.0,-48.42667528007692,13.374690862321245
RT,0,103,0.0574620102,0.0,0.0,-54.26845300750708,0.0
RT,0,104,49.5063701,0.0,0.0,-55.403327584266876,0.0
RT,0,105,0.0,0.0,0.0,-53.21947741512969,0.0
RT,0,106,0.0,0.0,0.0,-61.117281212569566,0.0
RT,0,107,0.0,0.0,0.0,-55.38030447958158,0.0
RT,0,108,0.0,0.0,0.0,-55.400385410400204,0.0
RT,0,109,0.0398216651,0.0,0.0,-55.76586076097992,0.0
RT,0,110,0.00156118246,0.0,0.0,-55.76597863025566,0.0
RT,0,111,0.0240603006,0.0,0.0,-53.54238986475491,0.0
RT,0,112,0.00165234474,0.0,0.0,-1.3484097807749151,0.0
RT,0,113,0.0,0.0,0.0,5.3757241585276745,0.0
RT,0,114,0.0,0.0,0.0,5.484833379349112,0.0
RT,0,115,0.0291315577,0.0,0.0,-26.417231694627105,0.0
RT,0,116,0.0,0.0,0.0,4.766802600587454,0.0
RT,0,117,0.0,0.0,0.0,-14.880708480518933,0.0
RT,1,0,0.0,0.0,0.0,0.0,0.0
RT,1,1,0.0,0.0,0.0,2.773567650545573,0.0
RT,1,2,0.0,0.0,0.0,1.660417282146966,0.0
RT,1,3,0.0,0.0,0.0,2.2832106919090904,0.0
RT,1,4,0.0,0.0,0.0,2.314520820594737,0.0
RT,1,5,0.0134178649,0.0,0.0,3.820830379225839,0.0
RT,1,6,0.0,0.0,0.0,3.962618389789043,0.0
RT,1,7,0.00961081691,0.0,0.0,1.238447155183053,0.0
RT,1,8,0.0,0.0,0.0,1.2356393569091324,0.0
RT,1,9,0.0920589598,0.0,0.0,1.2326750584035722,0.0
RT,1,10,0.0,0.0,0.0,3.8413723463885106,0.0
RT,1,11,0.0,0.0,0.0,3.8753467062977904,0.0
RT,1,12,0.0,0.0,0.0,4.479623647187651,0.0
RT,1,13,0.0,0.0,0.0,3.8707121070148105,0.0
RT,1,14,0.0,0.0,0.0,2.509661939261207,0.0
RT,1,15,0.0,0.0,0.0,3.6978808808528925,0.0
RT,1,16,0.0,0.0,0.0,1.0909949774684549,0.0
RT,1,17,0.0600500362,0.0,0.0,2.5435780056908754,0.0
RT,1,18,0.0130239587,0.0,0.0,2.5067336465230596,0.0
RT,1,19,0.0,0.0,0.0,3.785921924943125,0.0
RT,1,20,0.0,0.0,0.0,3.959420038802932,0.0
RT,1,21,0.0,0.0,0.0,3.486968642458322,0.0
RT,1,22,0.0,0.0,0.0,1.9272834062010702,0.0
RT,1,23,0.0,0.0,0.0,-0.3098581337257542,0.0
RT,1,24,0.0139761293,0.0,0.0,1.97997413231991,0.0
RT,1,25,0.0200713748,0.0,0.0,0.9457354499136272,0.0
RT,1,26,0.0727900687,0.0,0.0,6.50729658789669,0.0
RT,1,27,0.0,0.0,0.0,6.912831751122809,0.0
RT,1,28,0.0,0.0,0.0,6.568381901429319,0.0
RT,1,29,0.0,0.0,0.0,-1.3753920843826108,0.0
RT,1,30,0.0,0.0,0.0,6.055146471340379,0.0
RT,1,31,0.0,0.0,0.0,5.56445483680173,0.0
RT,1,32,0.0,0.0,0.0,-0.828108751600638,0.0
RT,1,33,0.034198511,0.0,0.0,-5.8828851815447365,0.0
RT,1,34,0.0,0.0,0.0,-5.45952130395051,0.0
RT,1,35,0.0,0.0,0.0,-5.463304233576736,0.0
RT,1,36,0.0,0.0,0.0,-6.251086318661436,0.0
RT,1,37,0.0,0.0,42.48243573062945,-9.065986849470931,0.0
RT,1,38,0.0,0.0,0.0,-6.965597162659748,0.0
RT,1,39,0.0,0.0,0.0,-8.180145574575135,0.0
RT,1,40,0.0,0.0,0.0,-9.41167543539845,0.0
RT,1,41,0.174757439,0.0,0.0,-15.292451970902306,0.0
RT,1,42,0.0,0.0,0.0,-12.502005130851842,0.0
RT,1,43,0.0,0.0,0.0,-24.346422645523205,0.0
RT,1,44,0.0,0.0,0.0,-29.407131793286624,0.0
