Segment,Breakpoint_Start,Breakpoint_End,Slope,Intercept
1,-inf,-0.1288176,-73.37291885803006,0.9974234514616924
2,-0.1288176,-0.108887,-134.37369863153737,-6.860550597090064
3,-0.108887,-0.08478895,-84.95549225984209,-1.4795503598952813
4,-0.08478895,-0.06189251,-97.66114275029466,-2.55684912404774
5,-0.06189251,-0.03279214,-43.47543924641438,0.7968400719232052
6,-0.03279214,0.0,-74.10604197497314,-0.20760294103607535
7,0.0,0.07207507,4.639545714841788,-0.20760294103607535
8,0.07207507,0.1201091,13.464760654840283,-0.8436809256015128
9,0.1201091,inf,44.88270361234111,-4.617261778078275
