Segment,Breakpoint_Start,Breakpoint_End,Slope,Intercept
1,#NAME?,-0.10128581,-97.10318273,-2.27132426
2,-0.10128581,-0.06075724,-86.38951779,-1.186182029
3,-0.06075724,-0.03706539,-100.1944784,-2.024933335
4,-0.03706539,-0.00648536,-55.17247316,-0.356175152
5,-0.00648536,0.03538727,0.626377953,0.005700485
6,0.03538727,0.06529,-0.921800424,0.060486292
7,0.06529,0.10194925,16.57650119,-1.081977821
8,0.10194925,0.13002944,35.06537213,-2.966904346
9,0.13002944,inf,24.94163147,-1.650520018
